Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,ERR%,ERR_Level
2022-09-12,Twitter,#Challenge,Live Stream,USA,2656794,311147,27434,13837,13.264784548595035,Excellent
2022-10-11,TikTok,#Fashion,Reel,Japan,605914,74898,3683,26862,17.40230461748697,Excellent
2022-10-26,Twitter,#Fashion,Live Stream,UK,3015306,110140,14231,21543,4.839110856410593,High
2023-09-02,Instagram,#Comedy,Tweet,USA,1219230,350006,94280,32133,39.07540004757101,Excellent
2022-10-27,YouTube,#Challenge,Live Stream,Brazil,2551155,88083,9939,37380,5.307478377440806,High
2022-06-25,Twitter,#Fashion,Post,Japan,2647569,195333,41306,22434,9.785316265600633,Excellent
2023-02-18,Twitter,#Gaming,Post,India,3575067,404847,77440,9922,13.767825889696613,Excellent
2023-08-30,Twitter,#Challenge,Video,USA,2335946,104895,75750,8793,8.109690891827123,Excellent
2022-09-29,Twitter,#Education,Reel,Germany,1977550,457727,47967,40004,27.594649945639805,Excellent
2022-01-21,Twitter,#Fashion,Shorts,UK,764769,162101,30721,41293,30.612511751914628,Excellent
2023-06-08,YouTube,#Tech,Video,Canada,3620429,22477,23839,25541,1.9847647889241857,Average
2022-01-30,Twitter,#Tech,Reel,UK,3485025,246513,4761,27120,7.988292766909851,Excellent
2023-07-13,TikTok,#Education,Reel,USA,4468711,355075,72834,22022,10.06847388430355,Excellent
2023-10-26,Instagram,#Fitness,Post,Japan,1492331,319292,58566,8303,25.876363889780485,Excellent
2022-06-04,Instagram,#Comedy,Shorts,UK,4522021,494856,7995,29137,11.764385879676366,Excellent
2023-07-21,Instagram,#Challenge,Tweet,USA,845352,425767,96744,44548,67.0796307337062,Excellent
2023-02-27,TikTok,#Dance,Post,Australia,3983567,126215,30951,9592,4.186147741458848,High
2022-03-10,Instagram,#Tech,Reel,Australia,4975026,113245,73842,39396,4.552398319124363,High
2023-03-17,Twitter,#Gaming,Post,Germany,2913334,94490,66459,18634,6.164174790806684,Excellent
2022-06-17,YouTube,#Dance,Live Stream,Australia,648171,478099,45995,49019,88.42003113375945,Excellent
2023-10-23,Twitter,#Tech,Post,Canada,4934327,73355,29521,11128,2.3104265282783243,Average
2022-04-14,YouTube,#Gaming,Shorts,Germany,2996758,80465,74505,39752,6.497755240830257,Excellent
2023-11-18,YouTube,#Comedy,Live Stream,Japan,4859049,71751,85452,33912,3.933177047607464,High
2022-05-27,Instagram,#Comedy,Reel,Brazil,1900224,443095,32294,12162,25.657554056784885,Excellent
2023-11-02,YouTube,#Gaming,Post,India,576289,450371,11973,13527,82.57506216499013,Excellent
2022-05-22,TikTok,#Gaming,Tweet,Australia,1297808,266995,73819,12405,27.21658365490119,Excellent
2022-12-29,Twitter,#Comedy,Video,Canada,3085596,53745,17472,45692,3.788862832334499,High
2023-12-28,Twitter,#Gaming,Shorts,Japan,4901634,164642,2903,23013,3.887642365790673,High
2022-12-21,Instagram,#Viral,Tweet,Australia,3827339,405141,10660,18414,11.34508858504564,Excellent
2023-09-11,Instagram,#Education,Shorts,Australia,3200135,357852,8303,1186,11.478921982978843,Excellent
2022-08-28,TikTok,#Dance,Post,Australia,727739,489613,21973,19468,72.97314009555623,Excellent
2023-06-24,YouTube,#Comedy,Tweet,Brazil,4209903,247202,57870,40525,8.209144011156551,Excellent
2023-02-17,YouTube,#Challenge,Tweet,Germany,4530315,267582,78454,38486,8.487754162790004,Excellent
2022-04-09,YouTube,#Viral,Reel,UK,1985675,121205,5696,45518,8.683143011822176,Excellent
2022-06-26,YouTube,#Fitness,Live Stream,Brazil,4913424,4745,61101,19149,1.729852746272253,Average
2022-05-06,Instagram,#Dance,Post,Japan,2392740,416629,25611,32521,19.84172956526827,Excellent
2023-01-01,TikTok,#Education,Post,Germany,792388,244159,98598,1399,43.43276273744681,Excellent
2022-11-18,YouTube,#Education,Video,Canada,4244112,398086,94347,40064,12.546723554892047,Excellent
2023-07-05,Instagram,#Education,Live Stream,Australia,1050122,497180,25187,19816,51.630477220741966,Excellent
2023-12-21,Twitter,#Comedy,Video,USA,1812695,12283,160,40265,2.9077147562055394,Average
2023-11-01,TikTok,#Challenge,Shorts,Canada,2934644,317216,61336,35193,14.098643651495719,Excellent
2022-06-06,YouTube,#Dance,Post,India,742028,460869,67942,7677,72.3002366487518,Excellent
2022-11-08,TikTok,#Music,Shorts,USA,2648881,466996,13573,37701,19.56562035063108,Excellent
2022-08-09,YouTube,#Gaming,Live Stream,USA,4784336,150954,95314,41213,6.008796204948816,Excellent
2022-06-29,YouTube,#Tech,Tweet,Japan,2302608,174419,24390,18624,9.442901266737543,Excellent
2023-12-18,YouTube,#Comedy,Reel,UK,1421076,42987,468,18401,4.352758050941681,High
2022-06-24,TikTok,#Fashion,Tweet,UK,816983,22944,94141,17673,16.494590462714648,Excellent
2022-02-12,Twitter,#Viral,Live Stream,Australia,2853605,22118,24141,31221,2.715162049407679,Average
2022-10-16,Twitter,#Education,Live Stream,Japan,3781816,453329,94706,8983,14.728849843567218,Excellent
2023-12-16,Instagram,#Fitness,Shorts,UK,4490630,166824,45589,4926,4.839833163720903,High
2022-12-17,Instagram,#Challenge,Post,Australia,2809655,296700,36554,5867,12.06984487419274,Excellent
2022-10-19,Instagram,#Comedy,Post,India,3538605,454950,72220,19322,15.443712988592962,Excellent
2023-01-01,Twitter,#Viral,Shorts,Brazil,4859826,224356,61653,19973,6.296151343690084,Excellent
2022-04-23,YouTube,#Challenge,Live Stream,Canada,3704693,361357,70236,46913,12.91621195062587,Excellent
2023-03-06,Instagram,#Gaming,Video,UK,1037736,375246,34403,29942,42.3605811111882,Excellent
2023-11-22,TikTok,#Education,Tweet,Germany,2471057,4846,85128,38195,5.186808721935593,High
2023-06-11,Twitter,#Gaming,Live Stream,Germany,3394446,368001,19656,13214,11.809614882664212,Excellent
2022-05-15,Twitter,#Fitness,Shorts,Japan,1338606,418866,60546,709,35.86723800730013,Excellent
2023-10-31,Twitter,#Comedy,Tweet,Germany,609587,122051,77324,6873,33.8340548600938,Excellent
2023-11-28,Instagram,#Gaming,Reel,Japan,1230975,481442,80512,3147,45.90678121001645,Excellent
2022-12-15,Twitter,#Fitness,Live Stream,Canada,3827204,274844,60816,10144,9.035421158631731,Excellent
2022-02-03,YouTube,#Music,Video,Australia,4597793,395657,62238,7115,10.113765452250679,Excellent
2023-09-11,Twitter,#Dance,Post,Brazil,260997,104453,93208,9124,79.2288800254409,Excellent
2023-08-28,Twitter,#Dance,Live Stream,India,468808,140236,73449,7034,47.080894523984234,Excellent
2023-07-27,YouTube,#Music,Video,Australia,2734965,261892,93169,46687,14.689328748265517,Excellent
2023-01-25,Instagram,#Fitness,Post,Australia,998555,225198,8583,34716,26.888553960472883,Excellent
2023-04-09,Instagram,#Dance,Video,India,4214277,491365,16797,37101,12.938470821922715,Excellent
2023-09-27,TikTok,#Education,Live Stream,UK,2405842,40352,68819,8569,4.893920714660398,High
2022-08-09,Instagram,#Gaming,Reel,India,591094,112899,37633,24431,29.599860597468425,Excellent
2022-08-12,YouTube,#Viral,Reel,Australia,1125942,95092,77009,32628,18.18290817821877,Excellent
2022-10-01,Instagram,#Fitness,Live Stream,Japan,1365802,451503,91330,25121,41.58391919180086,Excellent
2022-05-03,YouTube,#Gaming,Tweet,UK,1417424,390084,26977,44345,32.55243314632742,Excellent
2023-04-22,Instagram,#Education,Video,Canada,224135,47344,43245,29392,53.5306846320298,Excellent
2023-10-27,Twitter,#Fashion,Reel,Japan,3850575,106942,86204,19709,5.527875706874947,High
2022-11-27,Instagram,#Viral,Reel,India,947923,487612,46542,10658,57.47428852343492,Excellent
2022-07-10,Twitter,#Viral,Reel,Germany,1224749,336590,37876,39810,33.825379730867304,Excellent
2023-03-21,TikTok,#Music,Shorts,Germany,4821602,98539,52608,46508,4.09936365548214,High
2022-03-08,TikTok,#Viral,Video,Japan,4157229,429729,97695,38020,13.601463859700777,Excellent
2023-08-29,YouTube,#Fashion,Post,Japan,4586518,265120,57069,18054,7.418329111539516,Excellent
2022-01-12,Twitter,#Fitness,Live Stream,India,2552020,45301,86964,1054,5.224057805189615,High
2023-02-24,YouTube,#Comedy,Reel,UK,1065072,33441,17591,36956,8.261225532170595,Excellent
2023-12-04,Instagram,#Challenge,Shorts,India,4613593,197157,10941,47136,5.532217514635556,High
2022-02-13,Instagram,#Tech,Shorts,UK,3678203,106484,25338,25691,4.28233569490319,High
2022-11-24,Instagram,#Fitness,Tweet,USA,2609916,421798,69244,20168,19.587220431615425,Excellent
2022-06-04,Instagram,#Music,Video,Canada,636678,43943,48909,41810,21.150722971423544,Excellent
2022-02-06,TikTok,#Music,Video,USA,2825065,400017,84642,9441,17.489863065097616,Excellent
2023-03-24,TikTok,#Viral,Tweet,UK,4562262,96215,869,7479,2.2919113369639885,Average
2023-02-12,YouTube,#Fashion,Post,India,4356591,67603,24821,21031,2.6042150846843324,Average
2022-10-28,Instagram,#Comedy,Post,Brazil,4754509,424316,30621,18374,9.954992197932532,Excellent
2023-05-04,YouTube,#Challenge,Live Stream,India,4841421,339554,33055,48880,8.705894405795323,Excellent
2022-07-31,Instagram,#Comedy,Reel,USA,3545758,365667,98281,27784,13.868177128839587,Excellent
2023-12-28,TikTok,#Tech,Video,USA,4221248,87215,17939,14743,2.8403211562078323,Average
2022-08-28,Instagram,#Gaming,Tweet,Japan,3481771,299306,45796,27535,10.702513175047985,Excellent
2023-08-09,Twitter,#Tech,Tweet,Brazil,1262231,240848,63648,46400,27.799665829788683,Excellent
2023-04-02,Instagram,#Education,Video,India,735190,421586,62738,38778,71.1519471157116,Excellent
2022-02-19,Instagram,#Challenge,Tweet,Brazil,2635991,187823,29537,46857,10.023440899456789,Excellent
2022-11-08,Instagram,#Dance,Reel,UK,350307,4331,1623,26850,9.364357549235384,Excellent
2023-12-08,TikTok,#Fashion,Shorts,USA,1818938,228251,5943,10429,13.448671697441034,Excellent
2022-06-23,Twitter,#Comedy,Video,Japan,1429838,18668,2497,24005,3.1590991427000823,Average
2022-07-07,Twitter,#Comedy,Live Stream,Brazil,3011539,352831,16037,10940,12.61175764285304,Excellent
2023-10-18,TikTok,#Fitness,Video,UK,3185451,489381,98149,34483,19.52668554625389,Excellent
2023-11-25,Twitter,#Challenge,Reel,Japan,2162853,269312,87618,10907,17.007027292192305,Excellent
2023-03-11,Twitter,#Comedy,Tweet,Germany,1049060,203673,96687,20847,30.618553752883532,Excellent
2022-05-27,Twitter,#Fashion,Reel,UK,2843559,12146,35655,43443,3.2087957380170415,Average
2022-07-12,Twitter,#Fitness,Reel,Germany,906698,201588,49402,48909,33.07595252222902,Excellent
2023-01-18,Instagram,#Challenge,Reel,Germany,4483470,117945,55358,30073,4.536129381929622,High
2022-09-07,Twitter,#Gaming,Reel,India,1929226,300187,53229,25999,19.666695348289938,Excellent
2023-07-28,Instagram,#Fitness,Shorts,USA,3139127,70363,97084,127,5.338235757903392,High
2023-10-30,Twitter,#Viral,Video,UK,2651655,457174,40321,47420,20.549996134489593,Excellent
2022-03-16,TikTok,#Viral,Video,Canada,364719,189328,82087,44366,86.58199874423872,Excellent
2023-12-24,YouTube,#Fashion,Reel,Brazil,3656271,448604,9543,25102,13.216990753694132,Excellent
2022-02-26,Instagram,#Tech,Post,India,4363523,488878,8230,3369,11.46956255301049,Excellent
2022-03-28,YouTube,#Fitness,Shorts,Germany,1153858,36011,15306,46185,8.45008657911112,Excellent
2022-09-24,Instagram,#Comedy,Video,Australia,2121725,45509,307,8958,2.581578668300557,Average
2022-04-19,YouTube,#Dance,Shorts,USA,1684233,402293,7055,33744,26.30823644946988,Excellent
2022-07-26,Twitter,#Education,Tweet,USA,960449,475480,27053,23747,54.79520515925365,Excellent
2022-11-01,Instagram,#Music,Reel,Canada,1949651,348513,25769,15034,19.968496925860062,Excellent
2023-01-29,TikTok,#Dance,Shorts,Japan,1809305,287587,43594,4461,18.550880034046223,Excellent
2023-06-25,YouTube,#Comedy,Post,Germany,4274529,464184,34152,47788,12.776238036986062,Excellent
2023-01-15,TikTok,#Education,Video,Japan,4526401,302669,15559,21915,7.514645741727258,Excellent
2023-08-15,YouTube,#Education,Tweet,India,2611693,119401,62682,25971,7.966250244573156,Excellent
2022-02-05,YouTube,#Fitness,Post,India,777206,279969,17264,9519,39.46855788555415,Excellent
2022-06-25,Instagram,#Dance,Reel,Australia,3822658,16287,899,13106,0.7924329092479631,Low
2022-08-05,YouTube,#Fitness,Live Stream,Australia,2730742,380894,97358,46960,19.233307284247285,Excellent
2022-01-01,Twitter,#Fitness,Post,Brazil,3536654,292882,7966,37642,9.570910810048142,Excellent
2022-02-23,TikTok,#Tech,Post,India,2783900,290747,64651,21853,13.551169223032437,Excellent
2023-07-03,Instagram,#Tech,Tweet,Canada,911320,397818,13388,26310,48.00904182943423,Excellent
2023-02-28,Twitter,#Gaming,Tweet,UK,3481822,80175,68325,41815,5.46596006343805,High
2023-02-27,YouTube,#Fitness,Live Stream,Australia,1416870,368333,28809,5632,28.427025768066233,Excellent
2023-11-07,YouTube,#Challenge,Shorts,Germany,3458941,367246,48482,38137,13.121501638796381,Excellent
2022-02-18,Twitter,#Fashion,Video,Canada,3331697,221708,84660,10308,9.50494597798059,Excellent
2022-07-25,Twitter,#Music,Post,Brazil,754022,23357,98150,37681,21.111850847853244,Excellent
2023-06-26,Twitter,#Dance,Video,Australia,1835167,298712,16195,50,17.162307299553664,Excellent
2023-07-05,TikTok,#Tech,Tweet,India,4069490,363061,74985,765,10.782948231842319,Excellent
2022-02-09,TikTok,#Music,Tweet,Brazil,1963015,417328,41576,3075,23.53415536814543,Excellent
2023-06-22,Twitter,#Tech,Video,Brazil,4387952,260744,7764,10999,6.369873690505274,Excellent
2022-04-27,Twitter,#Comedy,Reel,UK,2582163,336015,60643,48347,17.233807470713504,Excellent
2023-04-27,YouTube,#Fashion,Shorts,Japan,4638671,371452,16316,46310,9.357809596757347,Excellent
2022-08-12,Instagram,#Tech,Tweet,USA,410444,256366,76964,9098,83.42867723733323,Excellent
2023-01-03,Twitter,#Tech,Live Stream,Germany,2034778,167327,83115,26341,13.602614142673058,Excellent
2023-03-06,TikTok,#Challenge,Tweet,UK,713539,395521,52325,40633,68.45862664829812,Excellent
2023-12-26,TikTok,#Tech,Shorts,India,2434680,120094,59075,15931,8.013373420737016,Excellent
2022-05-04,Twitter,#Fashion,Video,Australia,3587110,51649,89478,30231,4.777048933542601,High
2022-07-09,TikTok,#Dance,Shorts,Germany,2460537,203160,15349,30968,10.139128165924756,Excellent
2022-05-25,Twitter,#Music,Post,Germany,1190594,304893,33293,44281,32.12404900411055,Excellent
2022-01-31,YouTube,#Comedy,Shorts,Canada,2723499,249264,38529,23572,11.432535866545205,Excellent
2022-11-09,Twitter,#Challenge,Live Stream,Japan,4216678,452894,83096,6059,12.854882445375246,Excellent
2023-08-29,Twitter,#Music,Shorts,UK,2109525,73395,89584,19033,8.628103483011579,Excellent
2022-11-26,TikTok,#Fashion,Live Stream,Australia,2118691,51266,15265,39734,5.015596894497594,High
2023-02-23,TikTok,#Fitness,Video,Australia,579923,487181,219,39465,90.8508543375586,Excellent
2022-03-19,Instagram,#Fitness,Live Stream,USA,2309871,288470,79217,46717,17.9405689754969,Excellent
2023-05-08,TikTok,#Music,Tweet,Germany,2669756,229127,77357,49206,13.322940373577211,Excellent
2023-11-17,Instagram,#Education,Video,Canada,3373468,255416,34814,25166,9.349310561119891,Excellent
2023-08-11,TikTok,#Challenge,Post,UK,3724099,90120,50063,34585,4.692893502562633,High
2022-02-15,TikTok,#Education,Video,Canada,4757293,394313,78165,31965,10.603572241608832,Excellent
2022-11-17,Twitter,#Music,Video,Canada,4645686,446777,15642,26412,10.522256562324703,Excellent
2022-06-18,Twitter,#Fitness,Shorts,Brazil,4741739,170278,66069,18352,5.371425968405262,High
2022-10-24,Twitter,#Viral,Live Stream,Germany,2107265,257928,88494,37544,18.22105905047538,Excellent
2022-11-24,TikTok,#Comedy,Live Stream,Japan,421767,153271,92874,4701,59.47501819725108,Excellent
2023-10-03,Instagram,#Comedy,Reel,Canada,454350,156235,70705,24595,55.36150544734235,Excellent
2023-12-27,Twitter,#Fashion,Reel,Canada,3268300,382429,74538,8612,14.245295719487194,Excellent
2022-10-20,TikTok,#Fitness,Post,India,1265641,256012,70345,37884,28.779171976887604,Excellent
2023-04-22,Instagram,#Viral,Tweet,Germany,2888239,421574,35987,16821,16.424610290214904,Excellent
2022-02-28,Instagram,#Dance,Tweet,Canada,850931,6573,15362,16594,4.527864186402892,High
2023-08-11,Twitter,#Gaming,Shorts,Canada,2118152,13010,53774,35179,4.813771627343081,High
2022-03-12,Twitter,#Fashion,Shorts,Canada,3222456,303054,58013,21680,11.8774934397863,Excellent
2023-08-09,Twitter,#Viral,Post,UK,2012133,192947,29491,34692,12.778976340033187,Excellent
2022-10-31,Twitter,#Music,Post,USA,4949423,17417,78926,33128,2.6158806794246523,Average
2022-08-09,TikTok,#Tech,Reel,Brazil,1342285,474723,90043,13175,43.056504393627286,Excellent
2023-06-17,Instagram,#Fitness,Tweet,USA,1115324,415045,34081,31910,43.12970939386223,Excellent
2023-08-17,Twitter,#Dance,Video,Australia,4587929,426359,52404,29047,11.068392732319964,Excellent
2022-09-03,Instagram,#Education,Reel,Japan,4008179,455643,63634,37656,13.89491337587468,Excellent
2022-05-25,Twitter,#Tech,Reel,Canada,759694,365351,5889,32197,53.105197619041355,Excellent
2023-07-30,TikTok,#Challenge,Live Stream,Germany,1360958,488748,52814,21553,41.37636870498576,Excellent
2022-12-30,Twitter,#Viral,Video,Australia,2889543,52902,63885,24634,4.894234140139115,High
2023-03-06,Instagram,#Tech,Reel,Australia,1420653,40254,15175,14173,4.899296309514005,High
2022-07-28,TikTok,#Education,Tweet,USA,3939062,464055,50908,46604,14.256363570819651,Excellent
2023-09-27,YouTube,#Tech,Video,Japan,4389372,241611,14910,38606,6.723672543589379,Excellent
2022-04-21,TikTok,#Gaming,Reel,Japan,872093,237702,32141,143,30.95839549222388,Excellent
2022-03-28,YouTube,#Music,Post,UK,2478006,469276,57073,16266,21.89724318665895,Excellent
2022-05-13,TikTok,#Challenge,Live Stream,Japan,4816608,10450,96249,3214,2.281958589945455,Average
2023-05-21,Instagram,#Viral,Live Stream,UK,2989338,479456,99198,24250,20.168478773561237,Excellent
2022-08-19,YouTube,#Fitness,Tweet,USA,2450619,393130,29439,16494,17.91641213913709,Excellent
2022-07-25,Twitter,#Challenge,Shorts,UK,3495620,264370,42528,26970,9.55103815632134,Excellent
2023-05-29,TikTok,#Viral,Live Stream,UK,1782713,79936,65474,33082,10.012380007325913,Excellent
2023-07-09,Instagram,#Comedy,Video,Japan,3808187,142833,22552,23672,4.964488351018477,High
2023-06-13,Twitter,#Challenge,Shorts,Brazil,2347697,385302,85841,40121,21.77725660509001,Excellent
2022-03-07,YouTube,#Tech,Shorts,Brazil,4288053,39463,99816,7492,3.42278885079079,Average
2023-02-02,Twitter,#Fitness,Video,Germany,1198783,102757,64448,45215,17.719637332194402,Excellent
2022-09-30,TikTok,#Gaming,Reel,Brazil,1498964,362284,38536,9519,27.374840222980673,Excellent
2022-06-26,TikTok,#Fitness,Reel,Brazil,3207539,370923,31855,28893,13.458012513643638,Excellent
2023-08-09,Twitter,#Tech,Reel,UK,1556088,310527,69553,15425,25.416621682064257,Excellent
2023-03-22,Instagram,#Viral,Live Stream,Japan,507910,439117,23000,36313,98.13352759347129,Excellent
2022-02-17,TikTok,#Dance,Tweet,UK,3445560,270449,55139,38067,10.554307572644214,Excellent
2022-08-21,YouTube,#Education,Video,Germany,2851176,364420,46475,5976,14.62101953720149,Excellent
2022-08-21,YouTube,#Dance,Live Stream,UK,3085394,447385,34168,6255,15.810233636287618,Excellent
2023-03-05,YouTube,#Challenge,Video,Canada,598295,441991,68122,23592,89.20432228248606,Excellent
2023-03-28,YouTube,#Tech,Video,Japan,323613,80041,23225,35210,42.79061718781384,Excellent
2023-10-23,TikTok,#Music,Post,Australia,4081534,350009,87267,5450,10.847049173178517,Excellent
2023-01-10,Twitter,#Fashion,Live Stream,USA,2272154,318845,42786,25436,17.035244970191282,Excellent
2022-03-01,TikTok,#Comedy,Tweet,UK,1371750,3936,66622,2780,5.346309458720612,High
2023-10-14,Twitter,#Viral,Shorts,Canada,3766760,286848,62825,37504,10.278780702779047,Excellent
2022-11-16,TikTok,#Education,Post,Canada,1499664,207319,88398,30665,21.763675063214162,Excellent
2022-02-13,TikTok,#Fashion,Live Stream,UK,1518152,92660,60723,46917,13.193672306857284,Excellent
2022-08-19,TikTok,#Fitness,Video,UK,3175553,292632,83336,2755,11.926206238724404,Excellent
2023-02-11,Twitter,#Education,Post,Canada,3768650,216605,32767,23675,7.245220437026521,Excellent
2022-12-30,Instagram,#Fitness,Reel,UK,1803252,274745,62197,45341,21.19964375472757,Excellent
2022-07-07,YouTube,#Viral,Post,Japan,1489456,446331,87557,47811,39.05446015189438,Excellent
2023-08-23,Instagram,#Music,Live Stream,Canada,3154913,367384,25852,41170,13.769191099722878,Excellent
2022-08-17,Twitter,#Comedy,Tweet,UK,1554285,452975,22542,29937,32.5200333272212,Excellent
2022-11-30,Instagram,#Music,Live Stream,Germany,1907181,338676,59140,30282,22.446637209577904,Excellent
2022-11-02,Instagram,#Dance,Reel,Australia,483039,282741,24926,37989,71.55861120944685,Excellent
2022-04-23,YouTube,#Fitness,Reel,Japan,4822353,247730,44555,34043,6.7669869874727135,Excellent
2023-01-08,Twitter,#Fitness,Live Stream,Japan,4029198,466975,67045,10147,13.505590938941198,Excellent
2023-12-12,Instagram,#Fitness,Shorts,Japan,2533284,189339,96463,9657,11.663082386341207,Excellent
2023-07-04,Instagram,#Viral,Post,Canada,1444784,440354,41263,32270,35.56843099037641,Excellent
2023-01-27,YouTube,#Education,Shorts,Brazil,1174310,237235,78681,17776,28.416005995009836,Excellent
2022-01-11,Twitter,#Music,Video,India,1803388,484300,31088,15886,29.459772383979487,Excellent
2022-06-06,TikTok,#Tech,Shorts,Japan,1517604,160995,69788,23037,16.725048168033293,Excellent
2022-04-19,TikTok,#Fitness,Tweet,Brazil,2746993,39549,53941,13070,3.8791507659466187,High
2023-09-05,TikTok,#Viral,Post,Germany,4312799,395984,12729,37191,10.339086055250894,Excellent
2022-09-02,TikTok,#Fitness,Shorts,Canada,3269647,395557,90552,37531,16.015184513802254,Excellent
2022-05-12,Twitter,#Comedy,Reel,UK,3327043,459898,8577,4560,14.217880562409322,Excellent
2022-07-25,TikTok,#Tech,Shorts,Germany,3590490,177470,69628,13394,7.255054324061619,Excellent
2023-04-12,Instagram,#Comedy,Video,India,2109687,81944,74586,22335,8.47827189530959,Excellent
2022-02-28,Twitter,#Tech,Post,Brazil,4842053,171073,74732,42889,5.962223048777037,High
2023-11-05,Instagram,#Dance,Live Stream,Australia,2352184,486228,59382,26190,24.309322740057752,Excellent
2022-06-02,Twitter,#Comedy,Video,Brazil,4485225,201005,32520,47972,6.276095402125868,Excellent
2023-05-29,Twitter,#Fashion,Live Stream,Japan,2061327,471049,25198,1014,24.12334384597883,Excellent
2023-10-23,Twitter,#Education,Shorts,Germany,1618201,485204,92660,8526,36.23715471687386,Excellent
2023-03-12,YouTube,#Fitness,Live Stream,Australia,1740011,394641,25434,40742,26.483568207327423,Excellent
2022-10-26,Twitter,#Music,Post,Germany,3104601,401463,50057,4663,14.693772243196468,Excellent
2022-04-01,YouTube,#Dance,Shorts,Germany,2924425,56074,82482,19622,5.408858151602452,High
2022-09-21,TikTok,#Gaming,Reel,Germany,683790,215503,17809,14778,36.281606926103045,Excellent
2022-10-28,Instagram,#Tech,Tweet,Germany,2707572,230179,53270,6352,10.703353410361755,Excellent
2023-02-26,YouTube,#Tech,Post,Japan,3249574,165175,61456,274,6.982607566407166,Excellent
2023-09-12,Instagram,#Tech,Reel,Brazil,4190005,84964,50369,19038,3.6842676798715037,High
2022-07-17,Twitter,#Dance,Live Stream,Brazil,4903151,221692,89008,32540,7.000396275782656,Excellent
2022-12-05,Twitter,#Challenge,Post,Brazil,495987,106797,25673,14776,29.687471647442372,Excellent
2023-09-28,Instagram,#Comedy,Shorts,UK,3415328,118469,14421,17676,4.408537042415838,High
2022-10-01,Instagram,#Fitness,Video,Japan,3458904,231857,64606,40429,9.73984822938133,Excellent
2023-12-25,YouTube,#Viral,Post,UK,1776694,409291,47848,32217,27.543065941574636,Excellent
2023-09-01,Twitter,#Challenge,Live Stream,UK,1249604,30553,87308,16040,10.71547466237304,Excellent
2023-11-30,Instagram,#Education,Tweet,Brazil,2362909,209360,42036,10082,11.065936098258543,Excellent
2022-04-15,Instagram,#Challenge,Video,Canada,2980875,23957,13444,22622,2.013603388266868,Average
2022-07-29,Twitter,#Fitness,Post,Germany,4003396,356630,52250,48835,11.4331682401641,Excellent
2023-01-05,Twitter,#Comedy,Live Stream,UK,4582322,164949,4598,34876,4.461122548786401,High
2023-09-03,Instagram,#Music,Live Stream,USA,3284675,375788,31851,4538,12.548486532153106,Excellent
2023-05-10,Instagram,#Challenge,Reel,USA,1558041,407000,95826,14793,33.22242482707451,Excellent
2023-04-03,YouTube,#Fitness,Shorts,Brazil,2188290,74779,95888,30392,9.187950408766662,Excellent
2022-03-24,TikTok,#Comedy,Tweet,UK,1893329,477886,83144,22309,30.81022896707334,Excellent
2023-05-01,YouTube,#Challenge,Reel,USA,1259550,444463,95640,40419,46.08963518717002,Excellent
2022-07-15,YouTube,#Fitness,Reel,Australia,3000680,425076,88638,29249,18.094665209219244,Excellent
2023-11-11,YouTube,#Gaming,Post,Canada,4172105,113356,15475,39721,4.039975024597895,High
2023-02-20,TikTok,#Dance,Shorts,India,1373399,241489,20322,23441,20.769783580736554,Excellent
2023-10-21,YouTube,#Comedy,Video,Canada,3312960,366286,22239,43842,13.050776345020768,Excellent
2022-11-27,TikTok,#Dance,Reel,USA,1529954,243198,84121,45333,24.35707217341175,Excellent
2022-11-03,Twitter,#Fashion,Live Stream,Germany,3379946,52964,78464,19620,4.468947137025267,High
2023-05-21,YouTube,#Challenge,Shorts,Canada,2234585,38539,86095,38190,7.286543138882612,Excellent
2022-12-16,Twitter,#Dance,Live Stream,USA,2688261,401420,13288,32169,16.623274302606777,Excellent
2022-12-22,TikTok,#Gaming,Video,Brazil,2260892,110179,66087,49262,9.975177938618916,Excellent
2022-10-22,TikTok,#Music,Live Stream,Germany,1130376,138976,12325,30626,16.094379215411507,Excellent
2022-08-17,Instagram,#Tech,Live Stream,USA,4650686,35344,74563,32695,3.0662573220380818,Average
2022-07-08,Instagram,#Comedy,Shorts,Germany,473893,391296,16786,34510,93.39492248250131,Excellent
2022-11-04,Instagram,#Comedy,Live Stream,India,2350338,117930,10242,49338,7.55253074238684,Excellent
2023-07-25,Twitter,#Fashion,Shorts,Canada,4539318,227085,49466,43222,7.04451637889216,Excellent
2023-05-13,YouTube,#Challenge,Tweet,Japan,1190886,286183,15049,26925,27.555702225066042,Excellent
2023-05-13,Instagram,#Gaming,Shorts,Brazil,1878293,135556,66131,1905,10.839203468255485,Excellent
2023-05-10,Instagram,#Challenge,Reel,India,1939855,270361,16051,48568,17.268300981258907,Excellent
2022-02-14,Twitter,#Gaming,Tweet,India,3725275,304621,39355,21276,9.804698981954353,Excellent
2022-06-28,YouTube,#Comedy,Tweet,USA,3464426,174304,3700,7670,5.359444825780663,High
2022-03-20,TikTok,#Music,Reel,India,2404354,337049,40767,13246,16.26474304532527,Excellent
2023-04-24,YouTube,#Tech,Post,USA,3462645,247106,97876,38689,11.08028689051289,Excellent
2022-09-06,TikTok,#Viral,Post,Australia,3106476,152334,49965,44652,7.949554414713006,Excellent
2023-01-25,Instagram,#Comedy,Video,UK,4796296,473059,1016,10919,10.111844640113956,Excellent
